Year,NDVI_Class,Vegetation_Condition,Area_ha,Percent_AOI
2000,1,Bare or degraded land,5532.33,93.89
2000,2,Very sparse vegetation,298.99,5.07
2000,3,Sparse vegetation,32.31,0.55
2000,4,Moderate vegetation,4.76,0.08
2008,1,Bare or degraded land,5414.22,91.88
2008,2,Very sparse vegetation,394.67,6.7
2008,3,Sparse vegetation,52.09,0.88
2008,4,Moderate vegetation,7.4,0.13
2016,1,Bare or degraded land,3229.15,54.8
2016,2,Very sparse vegetation,2303.77,39.1
2016,3,Sparse vegetation,265.51,4.51
2016,4,Moderate vegetation,64.23,1.09
2016,5,Dense vegetation,5.73,0.1
2024,0,Negative / water / shadow,0.18,0.0
2024,1,Bare or degraded land,633.17,10.75
2024,2,Very sparse vegetation,4489.65,76.19
2024,3,Sparse vegetation,548.32,9.31
2024,4,Moderate vegetation,173.89,2.95
2024,5,Dense vegetation,23.18,0.39
